PVSYST 8.0.21
,File,File date,Description
Project,gwn1kWp.PRJ,08/04/26 18h13,gen1kWp,
Geographical Site,Curacaví_MN82.SIT,08/04/26 18h13,Curacaví;Chile;South_America;,
11/01/90 17:00,473.91,57.099,416.81,29.1,11.3
11/01/90 18:00,242.51,102.3,140.2,27.67,9.1
11/01/90 19:00,17.797,17.797,0,25.79,7.3001
11/01/90 20:00,0,0,0,23.82,6.4001
11/01/90 21:00,0,0,0,21.85,6.2
11/01/90 22:00,0,0,0,19.88,5.9999
11/01/90 23:00,0,0,0,18.1,6.6
12/01/90 00:00,0,0,0,16.76,8.2001
12/01/90 01:00,0,0,0,15.27,7.6
12/01/90 02:00,0,0,0,14.44,6.6
12/01/90 03:00,0,0,0,13.62,5.6
12/01/90 04:00,0,0,0,13.02,4.0999
12/01/90 05:00,0.1073,0.1021,0.0053,12.86,3.9001
12/01/90 06:00,99.503,35.297,64.206,13.73,4.9001
12/01/90 07:00,312,47.701,264.3,15.36,2.8
12/01/90 08:00,547.9,55.701,492.2,17.31,2.6001
12/01/90 09:00,763.6,75.501,688.1,19.31,3.0001
12/01/90 10:00,939.1,99.1,840,21.25,3.1999
12/01/90 11:00,1059.9,114.9,945,23.03,2.1999
12/01/90 12:00,1120.5,126.5,994.01,24.49,3.5999
12/01/90 13:00,1107.5,126,981.51,25.56,4.0999
12/01/90 14:00,1027.7,114.2,913.5,26.21,3.9001
12/01/90 15:00,891,94.798,796.21,26.43,3.1999
12/01/90 16:00,704,71.403,632.6,26.22,3.9001
12/01/90 17:00,481.29,53.401,427.89,25.38,4.9001
12/01/90 18:00,248.61,101.1,147.5,24,5.4001
12/01/90 19:00,18.495,18.495,0,22.21,2.4
12/01/90 20:00,0,0,0,20.45,2.1999
12/01/90 21:00,0,0,0,18.81,1.6001
12/01/90 22:00,0,0,0,17.18,1.1999
12/01/90 23:00,0,0,0,15.55,0.6001
13/01/90 00:00,0,0,0,14.79,0.7999
13/01/90 01:00,0,0,0,13.96,1
13/01/90 02:00,0,0,0,13.51,1.7999
13/01/90 03:00,0,0,0,13.06,3.1999
13/01/90 04:00,0,0,0,12.74,1.9
13/01/90 05:00,0.1073,0.1021,0.0053,12.66,2.6001
13/01/90 06:00,87.805,39.898,47.908,13.62,3.4
13/01/90 07:00,281.89,68.2,213.69,15.4,3.0001
13/01/90 08:00,504.6,86.5,418.1,17.55,3.0001
13/01/90 09:00,705.9,124.5,581.4,19.71,3.9001
13/01/90 10:00,873.99,161.2,712.79,21.98,4.7
13/01/90 11:00,985.39,201.4,783.99,23.98,3.5999
13/01/90 12:00,1049.6,209,840.6,25.66,3.5999
13/01/90 13:00,1041.5,205.1,836.4,26.93,3.5999
13/01/90 14:00,972.69,175.5,797.19,27.76,3.0001
13/01/90 15:00,848.79,133.2,715.6,28.13,2.6001
13/01/90 16:00,670.1,98.598,571.51,28.06,2.8
13/01/90 17:00,459.9,69.197,390.7,27.29,3.5999
13/01/90 18:00,238.11,103,135.1,25.94,5.6
13/01/90 19:00,20.301,20.301,0,24.13,4.0999
13/01/90 20:00,0,0,0,22.81,2.6001
13/01/90 21:00,0,0,0,21.49,2.1999
13/01/90 22:00,0,0,0,20.17,3.9001
13/01/90 23:00,0,0,0,18.97,2.1999
14/01/90 00:00,0,0,0,18.16,2.1999
14/01/90 01:00,0,0,0,17.25,2.0001
14/01/90 02:00,0,0,0,16.75,1.2999
14/01/90 03:00,0,0,0,16.25,1.1001
14/01/90 04:00,0,0,0,15.89,0.7999
14/01/90 05:00,0.1968,0.1963,0.0005,15.8,0.7001
14/01/90 06:00,75.804,38.1,37.704,16.59,0.5
14/01/90 07:00,275.1,109.2,165.9,18.34,0.6001
14/01/90 08:00,367.7,248.9,118.79,19.65,0.9
14/01/90 09:00,478.31,351,127.31,21.05,1.2999
14/01/90 10:00,503.4,409.7,93.701,22.06,1.1001
14/01/90 11:00,623.99,464.1,159.89,23.19,1
14/01/90 12:00,745.91,469.1,276.81,24.39,0.6001
14/01/90 13:00,572.19,474.5,97.693,24.82,0.4
14/01/90 14:00,399.1,365.3,33.808,24.7,0.7001
14/01/90 15:00,438.9,363.7,75.2,24.68,0.9
14/01/90 16:00,561.19,268.6,292.59,24.9,1.1001
14/01/90 17:00,415.7,155.8,259.9,24.79,1.2999
14/01/90 18:00,278.21,115.7,162.51,24.25,1.1999
14/01/90 19:00,34.307,30.602,3.7043,23.08,1.4
14/01/90 20:00,0,0,0,21.71,1.7999
14/01/90 21:00,0,0,0,20.33,1.5
14/01/90 22:00,0,0,0,19.06,1.5
14/01/90 23:00,0,0,0,17.79,1.5
15/01/90 00:00,0,0,0,17.04,1.5
15/01/90 01:00,0,0,0,16.17,1.7999
15/01/90 02:00,0,0,0,15.68,2.6001
15/01/90 03:00,0,0,0,15.19,3.9001
15/01/90 04:00,0,0,0,14.83,3.4
15/01/90 05:00,0,0,0,14.72,3.5999
15/01/90 06:00,109.39,40.204,69.191,15.81,3.9001
15/01/90 07:00,352.71,79.701,273.01,17.88,4.9001
15/01/90 08:00,554.31,82.7,471.61,19.93,3.9001
15/01/90 09:00,715.7,151.6,564.1,22,3.5999
15/01/90 10:00,906.91,251.8,655.11,24.1,2.6001
15/01/90 11:00,431.8,372.2,59.604,23.95,2.1001
15/01/90 12:00,536.71,499.1,37.609,24.12,2.1001
15/01/90 13:00,547.99,486.1,61.889,24.26,2.8
15/01/90 14:00,486.1,453.1,33.006,24.19,4.7
15/01/90 15:00,471.21,388.7,82.506,24.09,6.2
15/01/90 16:00,401.89,321.2,80.696,23.75,5.9999
15/01/90 17:00,290.6,234.9,55.701,23.11,6.6
15/01/90 18:00,117.8,110.7,7.0977,22.04,7.8999
15/01/90 19:00,14.005,13.998,0.0073,20.81,7.8999
15/01/90 20:00,0,0,0,19.86,7.3001
15/01/90 21:00,0,0,0,19.02,7.3001
15/01/90 22:00,0,0,0,18.14,6.9999
15/01/90 23:00,0,0,0,17.26,5.7
16/01/90 00:00,0,0,0,17.01,5.6
16/01/90 01:00,0,0,0,16.78,5.9001
16/01/90 02:00,0,0,0,16.67,5.0999
16/01/90 03:00,0,0,0,16.56,3.0001
16/01/90 04:00,0,0,0,16.49,2.6001
16/01/90 05:00,0,0,0,16.51,3.0001
16/01/90 06:00,61.995,46.602,15.393,17.25,3.5999
16/01/90 07:00,163.59,133.4,30.191,18.3,3.4
16/01/90 08:00,149,149,0,18.75,3.0001
16/01/90 09:00,307.51,289,18.504,19.71,4.7
16/01/90 10:00,539.91,413.8,126.11,21.44,3.5999
16/01/90 11:00,793,402.6,390.4,23.59,3.5999
16/01/90 12:00,829.3,446.7,382.59,25.32,3.9001
16/01/90 13:00,605.8,482.3,123.51,26.04,2.0001
16/01/90 14:00,405.29,369.8,35.491,26.11,2.4
16/01/90 15:00,170.6,169.3,1.3009,25.29,3.9001
16/01/90 16:00,100.2,100.2,0.0015,24.35,2.6001
16/01/90 17:00,410.61,235.1,175.51,24.58,1.9
16/01/90 18:00,294,91.603,202.4,24.43,3.0001
16/01/90 19:00,68.005,27.297,40.708,23.65,3.1999
16/01/90 20:00,0,0,0,22.39,2.1001
16/01/90 21:00,0,0,0,21.13,1.6999
16/01/90 22:00,0,0,0,19.87,2.1001
16/01/90 23:00,0,0,0,18.74,2.4
17/01/90 00:00,0,0,0,17.49,2.1999
17/01/90 01:00,0,0,0,16.14,2.4
17/01/90 02:00,0,0,0,15.41,3.5999
17/01/90 03:00,0,0,0,14.68,3.1999
17/01/90 04:00,0,0,0,14.16,1.7999
17/01/90 05:00,0,0,0,14.06,1.5
17/01/90 06:00,93.207,30.202,63.005,14.99,1.2999
17/01/90 07:00,311.41,48.997,262.41,16.85,1.9
17/01/90 08:00,551.7,58.198,493.5,19.07,3.0001
17/01/90 09:00,774.01,76.796,697.21,21.42,4.4001
17/01/90 10:00,950.69,96.101,854.59,23.73,2.8
17/01/90 11:00,1073.9,108.9,965,25.77,4.4001
17/01/90 12:00,1130.5,120,1010.5,27.45,4.0999
17/01/90 13:00,1117.2,120.4,996.8,28.69,5.4001
17/01/90 14:00,1037.3,109.8,927.5,29.47,6.8001
17/01/90 15:00,900,91.901,808.1,29.78,6.8001
17/01/90 16:00,708.1,70.099,638,29.62,6.4001
17/01/90 17:00,481.6,52.898,428.7,28.76,4.9001
17/01/90 18:00,248.7,100.5,148.2,27.32,4.0999
17/01/90 19:00,16.009,16,0.0087,25.42,2.6001
17/01/90 20:00,0,0,0,23.69,2.6001
17/01/90 21:00,0,0,0,21.97,3.5999
17/01/90 22:00,0,0,0,20.24,4.4001
17/01/90 23:00,0,0,0,18.65,4.0999
18/01/90 00:00,0,0,0,17.64,3.5999
18/01/90 01:00,0,0,0,16.54,2.4
18/01/90 02:00,0,0,0,15.95,3.1999
18/01/90 03:00,0,0,0,15.36,1.5
18/01/90 04:00,0,0,0,14.94,1.1999
18/01/90 05:00,0,0,0,14.86,1.7999
18/01/90 06:00,87.108,31.097,56.011,15.76,1.1001
18/01/90 07:00,297.6,46.398,251.2,17.61,1.7999
18/01/90 08:00,531.5,54.304,477.2,19.78,1.9
18/01/90 09:00,747.2,74.103,673.09,22.24,1.6999
18/01/90 10:00,918.3,100,818.3,24.55,3.5999
18/01/90 11:00,1039.4,119.1,920.3,26.6,5.7
18/01/90 12:00,1098.7,133.4,965.3,28.3,5.9999
18/01/90 13:00,1089,134,954.99,29.58,5.4001
18/01/90 14:00,1010.8,123.4,887.39,30.39,5.9999
18/01/90 15:00,875.69,102.5,773.19,30.73,7.6
18/01/90 16:00,694.2,75.399,618.8,30.62,6.4001
18/01/90 17:00,475.1,55.599,419.51,29.8,6.6
18/01/90 18:00,245.8,100.6,145.2,28.41,5.9999
18/01/90 19:00,16.402,16.4,0.0018,26.55,6.4001
18/01/90 20:00,0,0,0,24.86,6.2
18/01/90 21:00,0,0,0,23.18,6.4001
18/01/90 22:00,0,0,0,21.49,6.9999
18/01/90 23:00,0,0,0,19.81,6.8001
19/01/90 00:00,0,0,0,18.77,7.8999
19/01/90 01:00,0,0,0,17.58,5.9001
19/01/90 02:00,0,0,0,16.94,5.6
19/01/90 03:00,0,0,0,16.29,5.4001
19/01/90 04:00,0,0,0,15.83,5.4001
19/01/90 05:00,0,0,0,15.73,4.9001
19/01/90 06:00,79.202,37.197,42.005,16.52,5.7
19/01/90 07:00,276.9,54.602,222.3,18.21,5.6
19/01/90 08:00,499.11,71.403,427.71,20.24,5.9999
19/01/90 09:00,703.7,104.6,599.09,22.53,6.9999
19/01/90 10:00,875.41,137.5,737.91,24.71,7.6
19/01/90 11:00,996,164.5,831.5,26.66,10.2
19/01/90 12:00,1058.3,179.1,879.2,28.29,10.5
19/01/90 13:00,1052.5,176.5,876,29.51,9.1
19/01/90 14:00,983.19,154,829.19,30.3,8.7001
19/01/90 15:00,855.11,122.2,732.91,30.64,8.2001
19/01/90 16:00,682.11,84.003,598.1,30.55,7.6
19/01/90 17:00,472.21,56.902,415.3,29.8,8.5
19/01/90 18:00,246.3,47.003,199.3,28.47,7.6
19/01/90 19:00,19.103,19.101,0.002,26.68,8.5
19/01/90 20:00,0,0,0,25.46,6.9999
19/01/90 21:00,0,0,0,24.24,6.4001
19/01/90 22:00,0,0,0,23.02,7.3001
19/01/90 23:00,0,0,0,21.81,6.8001
20/01/90 00:00,0,0,0,21.21,6.8001
20/01/90 01:00,0,0,0,20.57,6.6
20/01/90 02:00,0,0,0,20.23,5.9001
20/01/90 03:00,0,0,0,19.89,5.0999
20/01/90 04:00,0,0,0,19.66,4.4001
20/01/90 05:00,0,0,0,19.62,4.7
20/01/90 06:00,34.092,34.092,0,19.99,3.5999
20/01/90 07:00,118,116.1,1.9009,20.77,4.7
20/01/90 08:00,233.6,222,11.603,21.83,5.7
20/01/90 09:00,308.6,293.6,14.995,22.82,4.7
20/01/90 10:00,435.7,401.5,34.196,23.98,4.9001
20/01/90 11:00,453.8,429.4,24.404,24.86,4.4001
20/01/90 12:00,459.7,420.7,39.005,25.52,4.7
20/01/90 13:00,461.8,421.6,40.195,26.04,5.9999
20/01/90 14:00,426.7,390,36.701,26.36,6.2
20/01/90 15:00,385.99,363.9,22.095,26.52,6.8001
20/01/90 16:00,327,305.4,21.601,26.53,7.6
20/01/90 17:00,228.7,211.7,16.995,26.26,6.9999
20/01/90 18:00,120.31,114.9,5.4016,25.7,5.7
20/01/90 19:00,4.5969,4.5969,0,24.89,4.4001
20/01/90 20:00,0,0,0,23.84,4.7
20/01/90 21:00,0,0,0,22.79,4.0999
20/01/90 22:00,0,0,0,21.74,2.8
20/01/90 23:00,0,0,0,20.69,2.1999
21/01/90 00:00,0,0,0,19.87,2.1999
21/01/90 01:00,0,0,0,19.07,3.1999
